From_Station,To_Station,Bikes_Moved
668,328,22
27,275,431
726,173,441
65,543,605
302,729,245
302,622,382
18,651,683
341,28,60
341,648,645
359,255,754
106,155,795
2,718,801
9,680,822
724,564,920
8,166,959
22,76,634
1,653,985
23,561,986
36,232,1005
358,635,853
358,666,158
725,306,1013
478,242,1027
30,125,736
30,164,360
669,165,1096
29,648,1098
28,34,339
28,575,28
28,559,800
16,630,1204
15,332,1009
11,671,1263
360,324,395
360,663,922
10,244,1321
729,431,613
729,127,728
3,468,1349
32,511,1360
24,300,600
53,418,905
98,316,1471
43,548,1472
328,183,1495
31,255,1501
33,517,1526
408,221,395
39,333,457
39,699,301
39,708,772
89,352,403
89,444,1133
41,63,447
41,170,1091
21,628,1543
34,668,3
34,334,1038
40,169,1605
6,471,278
6,551,1328
37,658,1348
19,551,1650
62,361,185
62,297,1241
90,388,186
90,373,844
90,377,461
90,569,194
86,106,106
86,111,1587
35,615,1708
38,206,189
38,435,1415
38,256,108
42,387,221
42,455,1514
42,463,11
722,541,1749
723,149,1130
723,640,657
95,52,168
95,667,119
95,447,1508
730,127,1796
55,251,285
55,382,310
46,477,1815
320,352,487
320,591,909
425,724,159
425,718,193
425,705,1482
251,43,310
83,504,1865
66,573,1872
45,562,1913
54,584,1917
20,551,1927
57,351,925
387,25,407
25,487,546
87,731,544
87,446,1484
102,28,90
102,496,1944
73,588,2046
74,226,1053
74,154,1003
80,302,77
80,415,543
80,636,1457
727,121,1150
727,123,964
82,196,2121
67,413,722
67,389,472
67,165,116
67,166,823
103,14,344
103,101,880
103,393,70
103,141,868
407,163,1461
376,165,1075
376,164,1102
75,278,1831
357,696,2209
84,11,223
84,46,461
84,118,1070
84,111,456
91,651,2227
92,104,786
92,123,220
92,438,1246
366,233,1202
366,673,1092
381,428,736
381,396,101
381,466,1461
362,533,2302
380,342,677
380,316,6
380,293,325
380,312,1303
369,350,1304
374,390,784
266,610,2395
58,221,2402
285,53,290
363,464,2423
695,569,2424
292,431,601
292,393,765
292,677,1058
88,56,114
88,364,731
